10:20:38: Starting /home/yurielnf/Documents/projects/it_irlm/build-tdvp-Desktop-Release/example/irlm_wilson_chain...
bond dimension of H: 5

sweep bond-dim energy
1 35 -11.293073959473
2 38 -11.293184236528
3 38 -11.293184237062
4 28 -11.293184236778
5 28 -11.293184236778
6 28 -11.293184236778
1 2 4 4 8 14 19 20 20 22 22 23 23 23 23 23 23 23 23 23 23 22 23 22 21 19 14 8 4 2 

-------------------------- evolve the psi with new Hamiltonian ----------------
bond dimension of H: 5
sweep bond-dim energy n0
4.8 26 -1.2937763504783 0.8836045146042
4.9 26 -1.2937763505608 0.87955422918416
5 26 -1.293776350658 0.87547989172129
5.1 26 -1.293776350659 0.87138396963226
5.2 26 -1.2937763506599 0.86726889029809
5.3 26 -1.2937763506609 0.86313703933804
5.4 26 -1.2937763506619 0.85899075843254
5.5 26 -1.2937763506628 0.85483234344121
5.6 26 -1.2937763506638 0.85066404266693
5.7 26 -1.2937763506647 0.84648805526388
5.8 26 -1.2937763506657 0.84230652978723
5.9 26 -1.2937763506667 0.83812156288157
6 26 -1.2937763506676 0.83393519810542

maxLinkDim after global subspace expansion = 38
Global subspace expansion: cputime = 1.531s, walltime = 0.301s
6.1 26 -1.2937763506686 0.8297494249601
6.2 26 -1.2937763506697 0.82556617773084
6.3 26 -1.2937763506707 0.82138733502616
6.4 26 -1.2937763506717 0.81721471891653
6.5 26 -1.2937763506728 0.81305009443518
6.6 26 -1.293776350674 0.80889516914816
6.7 26 -1.2937763506752 0.80475159282858
6.8 26 -1.2937763506766 0.80062095722827
6.9 26 -1.2937763506782 0.79650479594319
7 26 -1.2937763506801 0.7924045843698
7.1 26 -1.2937763506824 0.78832173974895
7.2 26 -1.2937763506851 0.7842576212925
7.3 26 -1.2937763506883 0.78021353038726
7.4 26 -1.2937763506923 0.77619071087063
7.5 26 -1.2937763506971 0.77219034937286
7.6 26 -1.2937763507031 0.76821357572085
7.7 26 -1.2937763507103 0.76426146339945
7.8 26 -1.2937763507189 0.76033503006619
7.9 26 -1.293776350729 0.75643523811587
8 26 -1.2937763507408 0.75256299529153

maxLinkDim after global subspace expansion = 38
Global subspace expansion: cputime = 2.127s, walltime = 0.390s
8.1 27 -1.2937763507546 0.74871915633889
8.2 27 -1.2937763507703 0.74490452017431
8.3 27 -1.2937763507884 0.74111983422888
8.4 27 -1.2937763508094 0.73736579351211
8.5 27 -1.2937763508342 0.73364304168167
8.6 27 -1.2937763508633 0.72995217190779
8.7 27 -1.2937763508978 0.72629372775881
8.8 27 -1.2937763509385 0.72266820410556
8.9 27 -1.2937763509864 0.71907604804297
9 27 -1.2937763510425 0.71551765982782
9.1 27 -1.2937763511081 0.71199339383204
9.2 27 -1.293776351184 0.70850355951006
9.3 27 -1.2937763512718 0.70504842237864
9.4 27 -1.293776351373 0.70162820500766
9.5 27 -1.2937763514893 0.69824308802082
9.6 27 -1.2937763516226 0.69489321110564
9.7 27 -1.2937763517742 0.69157867403259
9.8 27 -1.2937763519452 0.68829953768335
9.9 27 -1.293776351972 0.68505582590088
10 27 -1.2937763520027 0.6818475241498

maxLinkDim after global subspace expansion = 38
Global subspace expansion: cputime = 1.902s, walltime = 0.370s
10.1 27 -1.2937763520379 0.67867458314926
10.2 27 -1.2937763520779 0.67553691832664
10.3 27 -1.2937763521233 0.67243441200317
10.4 27 -1.2937763521746 0.66936691387594
10.5 27 -1.2937763522324 0.66633424224531
10.6 27 -1.2937763522974 0.66333618513378
10.7 27 -1.2937763523701 0.66037250141928
10.8 27 -1.2937763524514 0.6574429219832
10.9 27 -1.2937763525419 0.65454715087375
11 27 -1.2937763526424 0.65168486648483
11.1 27 -1.2937763527537 0.64885572275101
11.2 27 -1.2937763528764 0.64605935035874
11.3 27 -1.293776353011 0.64329535797401
11.4 27 -1.2937763530147 0.6405633340996
11.5 27 -1.2937763530185 0.63786284652369
11.6 27 -1.2937763530225 0.63519344538036
11.7 27 -1.2937763530266 0.63255466385671
11.8 27 -1.2937763530309 0.62994601950006
11.9 27 -1.2937763530354 0.62736701553898
12 27 -1.29377635304 0.62481714221713

maxLinkDim after global subspace expansion = 38
Global subspace expansion: cputime = 3.266s, walltime = 0.604s
12.1 29 -1.2937763530448 0.62229587817435
12.2 29 -1.2937763530498 0.61980269158977
12.3 29 -1.2937763530551 0.61733704195058
12.4 29 -1.2937763530607 0.61489838111109
12.5 29 -1.2937763530667 0.61248615474846
12.6 29 -1.293776353073 0.61009980374259
12.7 29 -1.2937763530797 0.60773876555489
12.8 29 -1.293776353087 0.60540247560461
12.9 29 -1.2937763530947 0.6030903686404
13 29 -1.2937763531031 0.60080188010413
13.1 29 -1.2937763531121 0.59853644748432
13.2 29 -1.2937763531218 0.59629351165584
13.3 29 -1.2937763531322 0.59407251820294
13.4 29 -1.2937763531433 0.59187291872225
